sleutel,naam,alias,plaats,website,kvk_nummer,wta_vervallen,toelichting,gevonden_bij
overig_wijs_accountants,Wijs Accountants,,Eindhoven,https://www.wijsaccountants.nl,,,"niet in het AFM-register (stand 8-8-2026); gespecialiseerd in onderwijs en kinderopvang, en per 1-1-2023 opgegaan in Crowe Foederer. Alle 17 vindplaatsen tekenen vanuit Eindhoven met dezelfde accountant (M.M.P.G. van Os MSc RA) en een eigen kenmerknummer onder de verklaring — bewust geen alias naar Crowe Foederer: de verklaringen zijn ouder dan die overgang","raadsinformatie-oogst 8-8-2026, 12 organisaties, o.a. Stichting O.R.S. Lek en Linge 2019"
overig_horlings_accountants,Horlings Accountants & Belastingadviseurs B.V.,Horlings Accountants,Amsterdam,,,,"niet in het AFM-register (stand 8-8-2026); tekent vanuit Amsterdam met De heer C. Rabe Registeraccountant onder de verklaring","raadsinformatie-oogst 8-8-2026, 8 organisaties, o.a. Stichting Spaarnesant 2019"
overig_drv_accountants_adviseurs,DRV Accountants & Adviseurs,DRV Accountants,Middelburg,,,,"niet in het AFM-register (stand 8-8-2026); tekent vanuit Middelburg met w.g. drs. J.J. Driessen RA. Bewust geen alias naar Moore DRV Audit B.V. (13020116): die vergunning loopt pas vanaf 10-9-2019 en deze verklaringen zijn ouder, dus het is niet dezelfde vergunninghouder onder een nieuwe naam","raadsinformatie-oogst 8-8-2026, 7 organisaties, o.a. Stichting Openbaar Primair Onderwijs Papendrecht & Sliedrecht 2018"
overig_kalnenek_accountants,Kalnenek Accountants,,Landgraaf,,,,"niet in het AFM-register (stand 8-8-2026); tekent vanuit Landgraaf, ondertekend door drs. E.E.T.M. Kalnenek RA — de partner naar wie het kantoor is genoemd","raadsinformatie-oogst 8-8-2026, 7 organisaties, o.a. Gemeenschappelijke Regeling Historisch Goud 2024"
overig_ruitenburg_audit,Ruitenburg Audit B.V.,Ruitenburg Audit,Den Haag,,,,"niet in het AFM-register (stand 8-8-2026); tekent vanuit Den Haag met drs. M.J.E.E.S. Dunsbergen RA. De Ruitenburg-groep ging in 2024 op in Moore DRV; bewust geen alias, want de verklaringen dateren van vóór die overgang","raadsinformatie-oogst 8-8-2026, o.a. ParkerenDelft B.V. 2020 en 2021"
overig_pyxis_audit,Pyxis Audit,Pyxis Audit B.V.,Almere,,,,"niet in het AFM-register (stand 8-8-2026); tekent vanuit Almere, origineel getekend door R.J.J. Fennis RA RE — Pyxis ontstond in 2012 uit onder meer Stolp & Fennis Registeraccountants","raadsinformatie-oogst 8-8-2026, Stichting Gooisch Natuurreservaat 2017"
overig_kroesewevers_audit,KroeseWevers Audit B.V.,KroeseWevers Audit,Enschede,,,,"niet in het AFM-register (stand 8-8-2026); tekent vanuit Enschede met drs. E.W.J. Roelofs RA","raadsinformatie-oogst 8-8-2026, Stichting Werkgeverstaken P-Wet Enschede 2018 en 2019"
overig_rdr_accountants,RDR Accountants,RDR Accountants B.V.,Rotterdam,,,,"niet in het AFM-register (stand 8-8-2026); tekent vanuit Rotterdam, origineel getekend door W.J. Houwerzijl RA","raadsinformatie-oogst 8-8-2026, Stichting Gemeenschapsfonds Schiedam 2017 en 2018"
overig_hd_accountants,HD Accountants B.V.,HD Accountants,Emmen,,,,"niet in het AFM-register (stand 8-8-2026); tekent vanuit Emmen met J.H. Keuter Registeraccountant","raadsinformatie-oogst 8-8-2026, 3 organisaties, o.a. Stichting Theater de Winsinghhof 2021"
overig_davvero_accountants,Davvero Accountants,,Aalsmeer,,,,"niet in het AFM-register (stand 8-8-2026); tekent vanuit Aalsmeer, was getekend: drs. C. Mekke RA","raadsinformatie-oogst 8-8-2026, 3 organisaties, o.a. Gemeenschappelijke Regeling Afvalschap IJmond-Zaanstreek 2015"
overig_schagen_lensen_van_krieken,Schagen Lensen & van Krieken Accountants,Schagen Lensen van Krieken,Rotterdam,,,,"niet in het AFM-register (stand 8-8-2026); tekent vanuit Rotterdam met Drs. S.A. Ouwersloot RA. Bewust geen alias naar Ouwersloot Kerkhoven Audit B.V. (13020119): die vergunning loopt pas vanaf 6-4-2020 en staat in de plaats Schagen — de naamsgelijkenis is toeval, alleen de tekenend accountant komt overeen","raadsinformatie-oogst 8-8-2026, Recreatieschap Hitland 2013"
overig_yilmaz_van_zuijlen,Yilmaz & Van Zuijlen Accountants en Belastingadviseurs B.V.,,Capelle aan den IJssel,https://yzgroup.nl,,,"niet in het AFM-register (stand 11-8-2026); eigen site yzgroup.nl (YZ Group, opgericht 2011)","zorgoogst 2019-2020, 26 verklaringbestanden, ondertekend P.T.M. van Zuijlen RA te Capelle aan den IJssel"
overig_borghhaeve_accountants,BorghHaeve Accountants,,Veenendaal,https://www.borghhaeve.nl,,,"niet in het AFM-register (stand 11-8-2026); het briefhoofd in de verklaringen noemt zelf www.borghhaeve.nl en info@bha-accountants.nl","zorgoogst 2019-2020, 17 verklaringbestanden, ondertekend door J. de Boer AA vanuit Wageningen/Ede"
overig_rotterdam_accountancy,Rotterdam Accountancy,,Rotterdam,,,,"niet in het AFM-register (stand 11-8-2026); eenmanskantoor van C.J. Timman AA; de eigen site is inmiddels offline — het bewijs is de consistente ondertekening met postbus en telefoonnummer in zestien verklaringen","zorgoogst 2019-2021, 16 verklaringbestanden, ondertekend C.J. Timman AA, Postbus 23536 Rotterdam"
overig_mattens_registeraccountants,Mattens Registeraccountants B.V.,,Westzaan,,,,"niet in het AFM-register (stand 11-8-2026); kantoor is vermoedelijk rond 2021 gestopt (mattens.nl serveert sinds okt 2021 een lege standaardpagina); het bewijs is het consistente briefhoofd Kerkbuurt 58 Westzaan in achttien verklaringen","zorgoogst 2019-2020, 18 bestanden bij 6 zorgorganisaties, o.a. Stichting Huid Medisch Centrum"
overig_rijkse_accountants,Rijkse accountants & adviseurs,,Middelburg,https://www.moore-drv.nl/rijkse/,,"eigen AFM-inschrijving vervallen: de oude registerdetailpagina geeft 404 en het live register 0 treffers (11-8-2026); per 1-1-2024 opgegaan in Moore DRV","de verklaringen dateren van vóór de fusie en zijn dus door Rijkse zelf bevoegd getekend; bewust geen alias naar Moore DRV Audit B.V. (13020116)","zorgoogst 2019-2021, 10 verklaringbestanden, o.a. Middelburg 2 juni 2021"
overig_aemstelhorst,Accountantskantoor Aemstelhorst B.V.,,Aalsmeer,https://www.aemstelhorst.nl,,,"niet in het AFM-register (stand 11-8-2026); mkb-kantoor, opgericht 2002 volgens de eigen site","zorgoogst 2020, 8 verklaringbestanden, ondertekend te Aalsmeer door een AA"
overig_van_eert,Van Eert accountants & adviseurs,Van Eert Audit & Assurance,Eindhoven,https://www.vaneert.nl,,,"niet in het AFM-register (stand 11-8-2026); briefpapier ""van Eert accountants & adviseurs"" en waarmerkstempel ""Van Eert Audit & Assurance"" staan in dezelfde stukken","zorgoogst 2019/2021, 8 bestanden, ondertekend te Eindhoven door drs. W.A.K.H.F. van der Pol RA"
overig_abab_accountants,ABAB Accountants B.V.,,Tilburg,https://www.abab.nl,,,"niet in het AFM-register (stand 11-8-2026); in 2024 gefuseerd met Alfa tot aaff. Bewust geen alias naar 13000259 (aaff Audit en Assurance B.V.): dat is blijkens de aliastabel de vroegere Alfa-entiteit, en deze verklaringen zijn jaren vóór de fusie door ABAB zelf getekend — zelfde redenering als bij Astrium en Accon avm","zorgoogst 2019-2020, 7 verklaringbestanden, Tilburg (Ellen Pankhurststraat)"
overig_balans_accountancy,Balans Accountancy & Administratie,,Teteringen,https://www.balansaccountancy.nl,,,"niet in het AFM-register (stand 11-8-2026); het adres in het briefhoofd is identiek aan dat op de eigen site (Adriaan Oomenstraat 49, Teteringen)","zorgoogst 2019, 6 verklaringbestanden"
overig_castelijns_swaans,Castelijns & Swaans accountants - adviseurs,,Eersel,https://www.castelijns-swaans.nl,,,"niet in het AFM-register (stand 11-8-2026); de ondertekenaar J.M.A.M. Borgmans RA staat op de teampagina van de eigen site","zorgoogst 2019, 6 verklaringbestanden"
overig_cliac_accountants,Cliac Accountants B.V.,,Haarlem,https://www.cliac.nl,,,"niet in het AFM-register (stand 11-8-2026, ook niet in het live register); het privacystatement op de eigen site noemt ""Cliac Accountants B.V., Kenaustraat 1, 2011 MV Haarlem"" — exact het briefhoofd boven de verklaringen, met A.M. Lansbergen RA als tekenaar. De twee Haarlemse vergunninghouders (VanOoijen, Berkenrode Audit) hebben een andere naam en een ander adres","zorgoogst 2020, 6 verklaringbestanden, o.a. 2020_34208666_10056 en 2020_74282603_2440"
overig_parallel_accountants,Parallel Accountants & Adviseurs B.V.,,Arnhem,https://www.parallel.nu,,,"niet in het AFM-register (stand 11-8-2026, ook niet in het live register); het briefhoofd noemt beide vestigingen (Vlamoven 34 Arnhem en Vredenburgstraat 20 Westervoort) plus www.parallel.nu, en de eigen site voert dezelfde naam en hetzelfde Arnhemse adres. Ondertekend door R.L. Hageman AA","zorgoogst 2019-2020, 6 verklaringbestanden, o.a. 2019_53655451_2284 en 2020_55765262_7568"
overig_hlb_van_daal,HLB van Daal Audit B.V.,HLB Van Daal;HLB Van Daal Adviseurs en Accountants,Dongen,https://www.hlb.nl/van-daal/,,,"niet in het AFM-register (stand 12-8-2026). Bewust GEEN alias naar HLB Den Hartog (13000106) of HLB Nannen (13000479): hlb.nl schrijft zelf dat HLB Nederland uit vijf kantoren bestaat die ""volledig autonoom"" werken en ""zelfstandige rechtspersonen"" zijn, dus het HLB-merk zegt niets over de entiteit. Van Daal tekent vanuit Dongen (Lage Ham 10) met eigen domein hlb-van-daal.nl in het briefpapier; het gaat om WNT-verantwoordingen, waarvoor geen Wta-vergunning nodig is","zorgoogst 2019-2021, 9 verklaringbestanden, o.a. 'Dongen, 18 juni 2020 / HLB van Daal Audit B.V. / w.g. P.W.M.H. Kosters RA'"
overig_drieblad_accountants,Drieblad Accountants B.V.,Drieblad Accountants,Nieuw-Vennep,,,,"niet in het AFM-register (stand 12-8-2026); tekent beoordelingsverklaringen in de zorg, waarvoor geen Wta-vergunning nodig is. Geen eigen website gevonden — het bewijs is de verklaring zelf: het briefpapier noemt ""Drieblad Accountants B.V. • Valeta 5 • 2152 TK Nieuw-Vennep"" en het handtekeningblok eronder ""Nieuw-Vennep, 13 april 2022 / Drieblad Accountants B.V. / M.P.J. van der Vight AA"", met hetzelfde adres. De zoekresultaten waren uitsluitend registerdoorverkopers en zijn conform de bronregels niet gebruikt","zorgoogst 2019-2021, 5 verklaringbestanden, o.a. Maatschap ThuisTeamJeugd te Rotterdam, boekjaar 2021"
overig_van_der_net,Van der Net Accountants B.V.,Van der Net Accountants,Arnhem,https://vandernetaccountants.nl,,,"niet in het AFM-register (stand 12-8-2026); tekent productieverantwoordingen Wmo/Jeugdwet, waarvoor geen Wta-vergunning nodig is. Het briefpapier noemt Mr. B.M. Teldersstraat 11B, 6842 CT Arnhem en vandernetaccountants.nl; het enige Arnhemse registerkantoor is Flynth Audit B.V. (13000519), een ander kantoor op een ander adres. Let op: ""P. van der Net RA"" in dezelfde stukken is de tekenend accountant, niet het kantoor","zorgoogst 2020-2021, 5 verklaringbestanden, ondertekening 'Arnhem, 29 maart 2021 / Namens Van der Net Accountants B.V. / P. van der Net RA'"
